Overall graph size pval = 0.0542
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
JUN	0.0427	0.011	0.8999
AKT1	0.1655	0.0146	1.0
ESR1	0.1442	0.0243	1.0
TP53	0.0401	0.1043	0.2764
AKT2	0.2715	0.1038	1.0
AKT3	0.2715	0.1038	1.0
RPS6KA1	0.107	0.2622	0.3495
MTOR	0.2718	0.1206	1.0
RELA	0.1664	0.2788	0.2765
MYC	0.168	0.5273	0.2124
STAT3	0.182	0.5052	0.1695
PIK3R1	0.4065	0.2188	1.0
PIK3CA	0.4675	0.2408	1.0
PDPK1	0.4384	0.2455	1.0
FOXO3	0.2539	0.4358	0.3775
CTNNB1	0.5691	1.0	0.2654
KRAS	0.4839	0.2736	1.0
MAPK1	0.6333	0.3017	1.0
YBX1	0.3335	0.4846	0.4391
AR	0.4273	0.7911	0.3872
SMAD4	0.6772	1.0	0.3897
MAPK3	0.5028	0.4648	0.6998
MET	0.838	1.0	0.4854
RB1	0.732	0.5036	1.0
EGFR	0.8896	1.0	0.5474
SRC	0.7214	0.5679	0.8464
CDKN1A	1.0	1.0	1.0
MAP2K1	1.0	1.0	1.0
FN1	1.0	1.0	1.0
